title,faculty,institute,term,ects,url,exam,re_exam
Advanced Fluorescence Spectroscopy and Microscopy,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,s23/B4,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEK22000E/Summer-2023/B4,"[{'grade': '12', 'count': 8}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 3}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 1}]",
Advanced Financial and Macro Econometrics,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s22,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08398E/Summer-2022,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 6}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 8}, {'grade': '02', 'count': 3}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 2}, {'grade': 'Absent', 'count': 2}]",
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,v24/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Winter-2024/B2,"[{'grade': '12', 'count': 4}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}]",
Advanced EU Constitutional Law,Det Juridiske Fakultet,v22,15,s23,http://karakterstatistik.stads.ku.dk/Histogram/JJUA55117E/Winter-2022,"[{'grade': '12', 'count': 10}, {'grade': '10', 'count': 9}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}]",
Advanced Financial and Macro Econometrics,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s21,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08398E/Summer-2021,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 5}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 5}, {'grade': 'Failed', 'count': 1}]","[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 0}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 0}]"
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,v22/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Winter-2022/B2,"[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 3}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}, {'grade': 'Failed', 'count': 1}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}]"
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,s23/B4,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Summer-2023/B4,,
Advanced Game Theory,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s24,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08408E/Summer-2024,"[{'grade': '12', 'count': 11}, {'grade': '10', 'count': 9}, {'grade': '7', 'count': 13}, {'grade': '4', 'count': 6}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 7}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 7}]","[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 3}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 2}]"
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,s20/B4,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Summer-2020/B4,"[{'grade': '12', 'count': 6}, {'grade': '10', 'count': 6}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 3}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]",
Advanced Game Theory,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s23,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08408E/Summer-2023,,
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,v20/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Winter-2020/B1,,
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,v21/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Winter-2021/B2,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 6}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 6}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}]"
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,v23/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Winter-2023/B1,,
Advanced Food Chemistry,Det Natur- og Biovidenskabelige Fakultet,Det Biovidenskabelige Fakultet,v23/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NFOK14018E/Winter-2023/B2,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Game Theory,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s22,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08408E/Summer-2022,"[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 10}, {'grade': '7', 'count': 9}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 10}]","[{'grade': '12', 'count': 3}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}]"
Advanced Geoinformatics,Det Natur- og Biovidenskabelige Fakultet,Institut for Geovidenskab og Naturforvaltning,v23/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NIGK15001E/Winter-2023/B2,"[{'grade': '12', 'count': 12}, {'grade': '10', 'count': 8}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 1}]",
Advanced Health Economics with STATA,Det Sundhedsvidenskabelige Fakultet,Folkesundhedsvidenskab,v23,10,http://karakterstatistik.stads.ku.dk/Histogram/SFOK18006E/Winter-2023,"[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Health Economics with STATA,Det Sundhedsvidenskabelige Fakultet,Folkesundhedsvidenskab,v24,10,http://karakterstatistik.stads.ku.dk/Histogram/SFOK18006E/Winter-2024,"[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Geoinformatics,Det Natur- og Biovidenskabelige Fakultet,Institut for Geovidenskab og Naturforvaltning,v22/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NIGK15001E/Winter-2022/B2,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 11}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 2}]",
Advanced Health Economics with STATA,Det Sundhedsvidenskabelige Fakultet,Folkesundhedsvidenskab,v21,10,http://karakterstatistik.stads.ku.dk/Histogram/SFOK18006E/Winter-2021,,
