title,faculty,institute,term,ects,url,exam,re_exam
Advanced Topics in Deep Learning,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v24/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK24003E/Winter-2024/B1,"[{'grade': '12', 'count': 9}, {'grade': '10', 'count': 22}, {'grade': '7', 'count': 17}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]",
Advanced Topics in Human-Centered Computing,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,s23/B3,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15012E/Summer-2023/B3,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 11}, {'grade': '7', 'count': 8}, {'grade': '4', 'count': 6}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 3}, {'grade': '-3', 'count': 2}, {'grade': 'Failed', 'count': 11}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 0}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 4}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 1}, {'grade': 'Failed', 'count': 1}]"
Advanced Topics in Image Analysis,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v24/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15013E/Winter-2024/B1,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 2}, {'grade': 'Absent', 'count': 2}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Ej bedømt', 'count': 1}]"
Advanced Topics in Image Analysis,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v23/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15013E/Winter-2023/B1,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 3}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]"
Advanced Programming,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v20/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAA09013E/Winter-2020/B1,"[{'grade': '12', 'count': 4}, {'grade': '10', 'count': 10}, {'grade': '7', 'count': 10}, {'grade': '4', 'count': 21}, {'grade': '02', 'count': 27}, {'grade': '00', 'count': 30}, {'grade': '-3', 'count': 38}, {'grade': 'Absent', 'count': 3}, {'grade': 'Failed', 'count': 21}]","[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 5}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 6}, {'grade': '02', 'count': 5}, {'grade': '00', 'count': 8}, {'grade': '-3', 'count': 4}, {'grade': 'Absent', 'count': 2}, {'grade': 'Failed', 'count': 3}]"
Advanced Topics in Image Analysis,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v22/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15013E/Winter-2022/B1,"[{'grade': '12', 'count': 4}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Topics in Image Analysis,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v20/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15013E/Winter-2020/B2,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 2}, {'grade': 'Absent', 'count': 3}]","[{'grade': '12', 'count': 0}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 0}, {'grade': '4', 'count': 3}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]"
Advanced Topics in Image Analysis,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v21/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15013E/Winter-2021/B1,"[{'grade': '12', 'count': 4}, {'grade': '10', 'count': 0}, {'grade': '7', 'count': 4}, {'grade': '4', 'count': 7}, {'grade': '02', 'count': 3}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]",
Advanced Topics in Machine Learning,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v24/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15014E/Winter-2024/B1,"[{'grade': '12', 'count': 13}, {'grade': '10', 'count': 7}, {'grade': '7', 'count': 8}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 1}]",
Advanced Topics in Machine Learning,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v23/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15014E/Winter-2023/B1,"[{'grade': '12', 'count': 10}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 3}, {'grade': '02', 'count': 3}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 1}]",
Advanced Topics in Machine Learning,Det Natur- og Biovidenskabelige Fakultet,Datalogisk Institut,v20/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NDAK15014E/Winter-2020/B1,"[{'grade': '12', 'count': 10}, {'grade': '10', 'count': 16}, {'grade': '7', 'count': 12}, {'grade': '4', 'count': 4}, {'grade': '02', 'count': 1}, {'grade': '00', 'count': 4}, {'grade': '-3', 'count': 5}]",
